Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,prot__0,prot__6,prot__17,target
1129,1,1,46,85,46,46,46,0,85,85,85,0,116031.8866,1771.479185,1129,0,1129,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,885.7395926,885.7395926,46,85,59,22.5166605,507,0,0,0,0,0,0,0,0,1,88.5,46,85,0,0,0,0,0,0,1,46,1,85,-1,-1,0,8,0,0,0,0,0,0,0,0,0,0,1,4
32407,2,0,0,0,0,0,0,0,0,0,0,0,0,61.71506156,32407,0,32407,32407,32407,32407,0,32407,32407,0,0,0,0,0,0,0,0,0,64,0,61.71506156,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
10625,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,42823.52941,658.8235294,1770.833333,3854.988426,9631.0,28.0,593.0,296.5,320.3193719,523.0,70.0,10130.0,3376.666667,5419.286515,9631.0,73.0,0,0,0,0,72,92,282.3529412,376.4705882,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
1404297,8,7,1132,1581,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1931.927505,10.68150114,100306.9286,253128.4507,973159,6,1404297,200613.8571,384328.2894,1070283,6,1341145,223524.1667,367458.8931,973159,63813,0,0,0,0,168,148,5.696800606,4.98470053,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0,0,0,0,0,0,0,0,0,1,0,4
10343,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,43991.1051,676.7862322,1723.833333,3723.922846,9314.0,1.0,677.0,338.5,328.8046533,571.0,106.0,9813.0,3271.0,5239.288024,9314.0,1.0,0,0,0,0,72,92,290.0512424,386.7349898,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
4,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,250000.0,250000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
22711,2,0,0,0,0,0,0,0,0,0,0,0,0,88.06305315,22711,0,22711,22711,22711,22711,0,22711,22711,0,0,0,0,0,0,0,0,0,64,0,88.06305315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
35192,2,0,0,0,0,0,0,0,0,0,0,0,0,56.83109798,35192,0,35192,35192,35192,35192,0,35192,35192,0,0,0,0,0,0,0,0,0,64,0,56.83109798,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
114002,9,7,546,3740,195,0,60.66666667,86.14957922,1460,0,534.2857143,656.6807226,37595.83165,140.3484149,7600.133333,14166.99529,35355,1,114002,14250.25,17981.17251,38184,18,78414,13069,19173.65285,39931,1,0,0,0,0,192,152,78.9459834,61.40243154,0,1460,252.1176471,474.1787483,224845.4853,0,0,1,1,0,0,0,1,0,267.875,60.66666667,534.2857143,0,0,0,0,0,0,9,546,7,3740,8192,119,4,20,0,0,0,0,0,0,0,0,0,1,0,4
2734961,9,10,1262,1677,661,0,140.2222222,208.2581198,1173,0,167.7,363.7163272,1074.603989,6.947082609,151942.2778,230180.222,953487,5,2734961,341870.125,490605.8259,1513798,5,2556841,284093.4444,268926.0845,953487,82624,0,0,0,0,192,224,3.290723341,3.656359268,0,1173,146.95,286.8967309,82309.73421,0,0,1,1,0,0,0,1,1,154.6842105,140.2222222,167.7,0,0,0,0,0,0,9,1262,10,1677,8192,62872,6,20,0,0,0,0,0,0,0,0,0,1,0,4
643,3,1,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,48211.50855365474,6220.839813374805,214.3333333333333,358.304805065929,628.0,1.0,629.0,314.5,443.3559518039653,628.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,4665.629860031104,1555.2099533437013,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,10.333333333333334,0.0,0,0,0,0,0,0,3,31,1,0,1105,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
260007,22,22,1928,2665,640,0,87.6363636364,137.7805520365,976,0,121.1363636364,258.6415602914,17664.9090216802,169.2262131404,6046.6744186047,13416.8955651357,52589,6,259955,12378.8095238095,17570.9296100663,52589,162,260000,12380.9523809524,27325.9412856651,105599,10,0,0,0,0,712,712,84.6131065702,84.6131065702,0,976,102.0666666667,203.7409674518,41510.3818181818,0,0,0,1,0,0,0,0,1,104.3863636364,87.6363636364,121.1363636364,0,0,0,0,0,0,22,1928,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
5208210,6,6,1026.0,529.0,517.0,0.0,171.0,246.6609008335128,377.0,0.0,88.16666666666666,154.00833310787655,298.5670700682192,2.304054560011981,473473.6363636364,1491024.2024954709,4968123.0,62.0,240087.0,48017.4,45699.47323875845,101939.0,142.0,5139562.0,1027912.4,2221417.638943947,5001228.0,149.0,0,0,0,0,132,132,1.1520272800059903,1.1520272800059903,0.0,517.0,119.61538461538464,195.55158674100056,38240.42307692307,0,0,0,1,0,0,0,0,1.0,129.58333333333334,171.0,88.16666666666667,0,0,0,0,0,0,6,1026,6,529,8192,57,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
115048068,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.139072305,0.0347680762,38349356.0,66423030.4314702,115048065,1,115048066,115048066.0,0.0,115048066,115048066,115048067,115048067.0,0.0,115048067,115048067,1,0,0,0,64,64,0.0173840381,0.0173840381,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,0,0,0,0,0,0,2,16,2,0,211,219,1,32,1.0,0.0,1,1,115048065.0,0.0,115048065,115048065,0,1,0,2
490,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4081.632653,490.0,0.0,490.0,490.0,490.0,490.0,0.0,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4081.632653,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
397001,22,21,1912,2665,640,0,86.9090909091,137.6880217811,976,0,126.9047619048,263.5746392887,11528.9382142614,108.3120697429,9452.4047619048,31166.1919644328,163277,4,396584,18884.9523809524,42511.4195428431,163277,289,396990,19849.5,46532.6179560328,167394,10,0,0,0,0,712,680,55.4154775429,52.8965922,0,976,104.0227272727,205.4948071133,42228.1157505285,0,0,0,1,0,0,0,0,0,106.4418604651,86.9090909091,126.9047619048,0,0,0,0,0,0,22,1912,21,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
4927,2,0,0,0,0,0,0,0,0,0,0,0,0,405.9265273,4927,0,4927,4927,4927,4927,0,4927,4927,0,0,0,0,0,0,0,0,0,64,0,405.9265273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
387999,22,22,1928,2665,640,0,87.6363636364,137.7805520365,976,0,121.1363636364,258.6415602914,11837.6593754108,113.4023541298,9023.2325581395,24072.2313829473,120801,3,387959,18474.2380952381,32997.5505074312,120801,394,387996,18476.0,43115.9278480703,159130,7,0,0,0,0,712,712,56.7011770649,56.7011770649,0,976,102.0666666667,203.7409674518,41510.3818181818,0,0,0,1,0,0,0,0,1,104.3863636364,87.6363636364,121.1363636364,0,0,0,0,0,0,22,1928,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
678,1,1,49,126,49,49,49,0,126,126,126,0,258112.0944,2949.852507,678,0,678,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1474.926254,1474.926254,49,126,74.66666667,44.45597073,1976.333333,0,0,0,0,0,0,0,0,1,112,49,126,0,0,0,0,0,0,1,49,1,126,-1,-1,0,8,0,0,0,0,0,0,0,0,0,0,1,4
56756527,153,104,54995,72490,646,0,359.4444444444,271.4171844443,1068,0,697.0192307692,368.2634130268,2246.173378438,4.5281135683,221705.18359375,416550.350592938,1114062,5,56754599,373385.519736842,485891.915495044,1114062,365,56756522,551034.194174757,557702.30603267,1169693,27,0,0,0,0,3072,2092,2.6957251983,1.8323883701,0,1068,494.1279069767,355.4289937081,126329.769568365,0,0,1,1,0,0,0,1,0,496.0505836576,359.4444444444,697.0192307692,0,0,0,0,0,0,153,54995,104,72490,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
8520,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.741784,8520.0,0.0,8520.0,8520.0,8520.0,8520.0,0.0,8520.0,8520.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,234.741784,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
353,1,1,40.0,56.0,40.0,40.0,40.0,0.0,56.0,56.0,56.0,0.0,271954.67422096315,5665.7223796034,353.0,0.0,353.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2832.8611898017,2832.8611898017,40.0,56.0,45.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,68.0,40.0,56.0,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
85,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23529.4117647059,85.0,0.0,85,85,85,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0,0,0,40,0,23529.4117647059,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0
78,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25641.0256410256,78.0,0.0,78,78,78,78.0,0.0,78,78,0,0.0,0.0,0,0,0,0,0,0,40,0,25641.0256410256,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
694631,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,1416.57945,10.07729284,115771.8333,283381.0962,694221.0,2.0,374.0,187.0,261.629509,372.0,2.0,694626.0,231542.0,400691.8036,694221.0,33.0,0,0,0,0,72,92,4.318839787,5.758453049,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
60,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33333.3333333333,60.0,0.0,60,60,60,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0,0,0,40,0,33333.3333333333,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
57023487,153,104,54995,72483,646,0,359.4444444444,271.4171844443,1068,0,696.9519230769,368.1950301001,2235.5349822784,4.5069148437,222747.99609375,418590.631468274,1196592,5,57021900,375144.078947368,488291.285049242,1196592,345,57023482,553626.038834952,561296.672755025,1260709,26,0,0,0,0,3072,2092,2.6831049459,1.8238098978,0,1068,494.1007751938,355.3850511093,126298.534551926,0,0,1,1,0,0,0,1,0,496.0233463035,359.4444444444,696.9519230769,0,0,0,0,0,0,153,54995,104,72483,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
214,2,0,0,0,0,0,0,0,0,0,0,0,0,9345.794393,214,0,214,214,214,214,0,214,214,0,0,0,0,0,0,0,0,0,64,0,9345.794393,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
7,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285714.285714286,7.0,0.0,7,7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,142857.142857143,142857.142857143,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
1662638,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,591.8305729,4.210176839,277106.3333,678608.9328,1662311.0,1.0,283.0,141.5,198.6970055,282.0,1.0,1662632.0,554210.6667,959643.0463,1662311.0,39.0,0,0,0,0,72,92,1.804361503,2.405815337,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
9772,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,46561.60458,716.3323782,1628.666667,3636.244088,9046.0,20.0,389.0,194.5,200.1112191,336.0,53.0,9456.0,3152.0,5107.250826,9046.0,33.0,0,0,0,0,72,92,306.9995907,409.3327876,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5
380565,22,22,1944,2665,640,0,88.3636363636,137.8690011274,976,0,121.1363636364,258.6415602914,12110.9403124302,115.6175686151,8850.3488372093,21633.8679476282,122313,3,380512,18119.6190476191,29124.2656585126,122313,220,380557,18121.7619047619,38125.555889593,159611,14,0,0,0,0,712,712,57.8087843075,57.8087843075,0,976,102.4222222222,203.7441007388,41511.6585858586,0,0,0,1,0,0,0,0,1,104.75,88.3636363636,121.1363636364,0,0,0,0,0,0,22,1944,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1
315,1,1,42,58,42,42,42,0,58,58,58,0,317460.3175,6349.206349,315,0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3174.603175,3174.603175,42,58,47.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,71,42,58,0,0,0,0,0,0,1,42,1,58,-1,-1,0,8,0,0,0,0,0,0,0,0,0,0,1,4
31118902,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06426962,31100000.0,0.0,31100000.0,31100000.0,31100000.0,31100000.0,0.0,31100000.0,31100000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.06426962,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,31100000.0,0.0,31100000.0,31100000.0,0,1,0,6
5068053,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7892577287569803,1689351.0,2891949.6417505266,5028610.0,107.0,5068053.0,2534026.5,3527873.818172144,5028610.0,39443.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,0.5919432965677351,0.197314432189245,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,29200,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
9656,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.1251036,9656.0,0.0,9656.0,9656.0,9656.0,9656.0,0.0,9656.0,9656.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,207.1251036,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,6
5017356,5,3,566,1866,566,0,113.2,253.122895053,1866,0,622.0,1077.3356023078,484.7174487918,1.5944652921,716765.142857143,1890419.43453928,5003825,19,5017356,1254339.0,2499661.05883444,5003825,451,13120,6560.0,6185.7701218199,10934,2186,0,0,0,0,112,72,0.9965408075,0.5979244845,0,1866,270.2222222222,627.0099237209,393141.444444444,0,0,1,1,0,0,0,1,0,304.0,113.2,622.0,0,0,0,0,0,0,5,566,3,1866,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,3
6676790,11,12,2008,4425,1078,0,182.5454545,315.1251699,1460,0,368.75,539.7263827,963.4869451,3.444769118,303490.4545,1339926.98,6300829,1,375739,37573.9,56225.78813,184431,45,6632233,602930.2727,1905726.791,6347464,1,0,0,0,0,232,252,1.647498274,1.797270844,0,1460,268.0416667,440.9153995,194406.3895,0,0,1,1,0,0,0,1,1,279.6956522,182.5454545,368.75,0,0,0,0,0,0,11,2008,12,4425,8192,7856,6,20,375739,0,375739,375739,6300829,0,6300829,6300829,0,1,0,4
959218,7,5,364.0,594.0,103.0,0.0,52.0,49.21720566360237,409.0,0.0,118.8,165.79414947458187,998.7302156548354,12.51019059275368,87201.63636363638,99876.83606049276,192646.0,3.0,959218.0,159869.6666666667,78321.493845985,192772.0,3.0,767961.0,191990.25,1236.381110337745,193831.0,191242.0,0,0,0,0,152,112,7.297611179106314,5.212579413647367,0.0,409.0,73.6923076923077,109.3094877060729,11948.564102564102,0,0,0,1,0,0,0,0,0.0,79.83333333333333,52.0,118.8,0,0,0,0,0,0,7,364,5,594,8192,260,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
42695,3,0,0,0,0,0,0,0,0,0,0,0,0,70.26583909,21347.5,27504.33247,40796,1899,42695,21347.5,27504.33247,40796,1899,0,0,0,0,0,0,0,0,0,96,0,70.26583909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,0,1,0,2
